id_via,id_soc,p5_3,n_via,p5_6,p5_7_6,p5_7_7,dto_origen,p5_9_1,p5_9_2,p5_10_1,p5_10_2,p5_11a,p5_12_6,p5_12_7,dto_dest,p5_13,p5_14_01,p5_15_01,p5_14_02,p5_15_02,p5_14_03,p5_15_03,p5_14_04,p5_15_04,p5_14_05,p5_15_05,p5_14_06,p5_15_06,p5_14_07,p5_15_07,p5_14_08,p5_15_08,p5_14_09,p5_15_09,p5_14_10,p5_15_10,p5_14_11,p5_15_11,p5_14_12,p5_15_12,p5_14_13,p5_15_13,p5_14_14,p5_15_14,p5_14_15,p5_15_15,p5_14_16,p5_15_16,p5_14_17,p5_15_17,p5_14_18,p5_15_18,p5_14_19,p5_15_19,p5_14_20,p5_15_20,p5_18,p5_19,p5_20,p5_21_1,p5_21_2,p5_22,p5_23,p5_24,p5_25,p5_26,p5_27_1,p5_27_2,p5_27_3,p5_27_4,p5_27_5,p5_27_6,p5_27_7,p5_27_8,estrato,factor,upm_dis,est_dis,tloc,sexo,edad
8028,3037,1,01,01,017,09,004,08,00,08,10,11,017,09,004,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,00,15,1,0100,2,1,00,,,,,,,,,3,134,00215,0090,1,1,35
8029,3037,1,02,11,017,09,004,18,55,19,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,134,00215,0090,1,1,35
8029,3037,1,02,11,017,09,004,18,55,19,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,134,00215,0090,1,1,35
8094,3056,1,01,01,017,09,004,06,00,08,00,06,104,15,115,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,12,00,2,,,1,01,1,2,2,2,2,2,2,2,2,88,00216,0080,1,1,48
8094,3056,1,01,01,017,09,004,06,00,08,00,06,104,15,115,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,12,00,2,,,1,01,1,2,2,2,2,2,2,2,2,88,00216,0080,1,1,48
8095,3056,1,02,06,104,15,115,20,00,22,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,2,88,00216,0080,1,1,48
8095,3056,1,02,06,104,15,115,20,00,22,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,2,88,00216,0080,1,1,48
8096,3056,2,01,01,017,09,004,07,00,09,00,06,104,15,115,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,04,00,2,,,1,01,1,2,2,2,2,2,2,2,2,88,00216,0080,1,1,48
8096,3056,2,01,01,017,09,004,07,00,09,00,06,104,15,115,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,04,00,2,,,1,01,1,2,2,2,2,2,2,2,2,88,00216,0080,1,1,48
8097,3056,2,02,06,104,15,115,13,00,14,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,2,88,00216,0080,1,1,48
8097,3056,2,02,06,104,15,115,13,00,14,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,2,88,00216,0080,1,1,48
8160,3073,1,01,01,017,09,004,12,30,13,00,05,005,09,028,04,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,01,00,2,,,1,00,,,,,,,,,2,104,00218,0080,1,1,57
8160,3073,1,01,01,017,09,004,12,30,13,00,05,005,09,028,04,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,01,00,2,,,1,00,,,,,,,,,2,104,00218,0080,1,1,57
8161,3073,1,02,05,005,09,028,14,00,14,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,01,2,1,2,2,2,2,2,2,2,104,00218,0080,1,1,57
8161,3073,1,02,05,005,09,028,14,00,14,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,01,2,1,2,2,2,2,2,2,2,104,00218,0080,1,1,57
7377,2842,1,01,01,017,09,004,06,00,07,30,03,016,09,016,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,14,00,2,,,1,00,,,,,,,,,2,104,00204,0080,1,1,32
7377,2842,1,01,01,017,09,004,06,00,07,30,03,016,09,016,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,14,00,2,,,1,00,,,,,,,,,2,104,00204,0080,1,1,32
7378,2842,1,02,03,016,09,016,10,00,11,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,01,2,1,2,2,2,2,2,2,2,104,00204,0080,1,1,32
7378,2842,1,02,03,016,09,016,10,00,11,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,01,2,1,2,2,2,2,2,2,2,104,00204,0080,1,1,32
7542,2888,1,01,01,017,09,004,07,00,07,35,08,015,09,007,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,00,02,2,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7542,2888,1,01,01,017,09,004,07,00,07,35,08,015,09,007,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,00,02,2,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7543,2888,1,02,08,015,09,007,07,37,08,10,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7543,2888,1,02,08,015,09,007,07,37,08,10,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7544,2888,1,03,01,017,09,004,14,30,14,59,08,016,09,058,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,00,02,2,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7544,2888,1,03,01,017,09,004,14,30,14,59,08,016,09,058,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,00,02,2,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7545,2888,1,04,08,016,09,058,15,00,15,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7545,2888,1,04,08,016,09,058,15,00,15,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7546,2888,1,05,01,017,09,004,16,30,17,00,08,005,09,032,07,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,00,05,2,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7546,2888,1,05,01,017,09,004,16,30,17,00,08,005,09,032,07,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,00,05,2,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7547,2888,1,06,08,005,09,032,17,05,17,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
7547,2888,1,06,08,005,09,032,17,05,17,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,00,,,,,,,,,3,103,00207,0090,1,1,59
8233,3097,1,01,01,017,09,004,07,00,07,40,03,017,09,004,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,00,08,2,,,1,02,1,2,2,2,2,2,2,2,2,86,00219,0080,1,1,39
8233,3097,1,01,01,017,09,004,07,00,07,40,03,017,09,004,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,00,08,2,,,1,02,1,2,2,2,2,2,2,2,2,86,00219,0080,1,1,39
8234,3097,1,02,03,017,09,004,20,00,20,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,4,,,,,,1,00,,,,,,,,,2,86,00219,0080,1,1,39
8234,3097,1,02,03,017,09,004,20,00,20,30,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,4,,,,,,1,00,,,,,,,,,2,86,00219,0080,1,1,39
8569,3202,1,01,01,017,09,004,10,00,11,00,03,014,09,015,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,12,00,2,,,1,00,,,,,,,,,3,163,00227,0090,1,2,28
8569,3202,1,01,01,017,09,004,10,00,11,00,03,014,09,015,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,12,00,2,,,1,00,,,,,,,,,3,163,00227,0090,1,2,28
8570,3202,1,02,03,014,09,015,22,00,23,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,01,2,2,2,1,2,2,2,2,3,163,00227,0090,1,2,28
8570,3202,1,02,03,014,09,015,22,00,23,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,01,2,2,2,1,2,2,2,2,3,163,00227,0090,1,2,28
8571,3202,2,01,01,017,09,004,12,30,13,10,05,015,09,002,04,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,02,10,2,,,1,00,,,,,,,,,3,163,00227,0090,1,2,28
8571,3202,2,01,01,017,09,004,12,30,13,10,05,015,09,002,04,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,02,10,2,,,1,00,,,,,,,,,3,163,00227,0090,1,2,28
8572,3202,2,02,05,015,09,002,15,20,16,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,02,10,2,,,1,01,2,2,2,1,2,2,2,2,3,163,00227,0090,1,2,28
8572,3202,2,02,05,015,09,002,15,20,16,00,01,017,09,004,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,02,10,2,,,1,01,2,2,2,1,2,2,2,2,3,163,00227,0090,1,2,28
3043,1308,1,01,01,015,09,002,07,45,08,05,03,015,09,001,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,08,00,2,,,1,01,1,2,2,2,2,2,2,2,3,39,00089,0040,1,1,55
3043,1308,1,01,01,015,09,002,07,45,08,05,03,015,09,001,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,08,00,2,,,1,01,1,2,2,2,2,2,2,2,3,39,00089,0040,1,1,55
3044,1308,1,02,03,015,09,001,16,00,16,30,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,39,00089,0040,1,1,55
3044,1308,1,02,03,015,09,001,16,00,16,30,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,3,39,00089,0040,1,1,55
3234,1385,1,01,01,015,09,002,06,00,06,20,03,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,1,0030,2,1,00,,,,,,,,,3,136,00094,0040,1,1,62
3234,1385,1,01,01,015,09,002,06,00,06,20,03,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,1,0030,2,1,00,,,,,,,,,3,136,00094,0040,1,1,62
3235,1385,1,02,03,015,09,002,21,30,22,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,136,00094,0040,1,1,62
3235,1385,1,02,03,015,09,002,21,30,22,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,136,00094,0040,1,1,62
3240,1388,1,01,01,015,09,002,07,35,07,45,02,015,09,002,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,00,05,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3240,1388,1,01,01,015,09,002,07,35,07,45,02,015,09,002,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,00,05,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3241,1388,1,02,02,015,09,002,07,50,08,20,03,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,09,40,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3241,1388,1,02,02,015,09,002,07,50,08,20,03,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,09,40,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3242,1388,1,03,03,015,09,002,18,20,18,50,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,01,1,2,2,2,2,2,2,2,4,208,00095,0050,1,1,41
3242,1388,1,03,03,015,09,002,18,20,18,50,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,01,1,2,2,2,2,2,2,2,4,208,00095,0050,1,1,41
3243,1388,2,01,01,015,09,002,09,30,09,50,06,015,09,008,03,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,3,01,10,1,0012,1,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3243,1388,2,01,01,015,09,002,09,30,09,50,06,015,09,008,03,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,3,01,10,1,0012,1,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3244,1388,2,02,06,015,09,008,11,10,11,30,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,4,,,,,,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3244,1388,2,02,06,015,09,008,11,10,11,30,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,03,4,,,,,,1,00,,,,,,,,,4,208,00095,0050,1,1,41
3258,1393,1,01,01,015,09,002,07,30,08,00,03,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,07,30,2,,,1,01,1,2,2,2,2,2,2,2,4,208,00095,0050,1,2,32
3258,1393,1,01,01,015,09,002,07,30,08,00,03,015,09,002,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,07,30,2,,,1,01,1,2,2,2,2,2,2,2,4,208,00095,0050,1,2,32
3259,1393,1,02,03,015,09,002,15,00,15,25,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,16,30,1,1200,5,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3259,1393,1,02,03,015,09,002,15,00,15,25,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,1,16,30,1,1200,5,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3260,1393,2,01,01,015,09,002,10,10,10,20,09,016,09,016,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,02,05,1,0050,1,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3260,1393,2,01,01,015,09,002,10,10,10,20,09,016,09,016,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,02,05,1,0050,1,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3261,1393,2,02,09,016,09,016,12,00,12,15,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,04,45,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3261,1393,2,02,09,016,09,016,12,00,12,15,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,04,45,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3262,1393,2,03,01,015,09,002,17,00,17,20,05,015,09,002,04,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,09,00,1,0028,1,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3262,1393,2,03,01,015,09,002,17,00,17,20,05,015,09,002,04,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,09,00,1,0028,1,1,00,,,,,,,,,4,208,00095,0050,1,2,32
3263,1394,1,01,01,015,09,002,09,00,09,45,03,016,09,058,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,11,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3263,1394,1,01,01,015,09,002,09,00,09,45,03,016,09,058,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,11,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3264,1394,1,02,03,016,09,058,20,00,21,30,07,015,09,002,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,01,40,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3264,1394,1,02,03,016,09,058,20,00,21,30,07,015,09,002,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,01,40,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3265,1394,1,03,07,015,09,002,23,00,23,10,07,015,09,002,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,00,02,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3265,1394,1,03,07,015,09,002,23,00,23,10,07,015,09,002,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,3,00,02,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3266,1394,1,04,07,015,09,002,23,20,23,25,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3266,1394,1,04,07,015,09,002,23,20,23,25,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3267,1394,2,01,01,015,09,002,08,00,10,00,07,140,21,888,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,14,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3267,1394,2,01,01,015,09,002,08,00,10,00,07,140,21,888,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,14,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,2,40
3268,1395,1,01,01,015,09,002,08,00,08,45,03,005,09,028,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,10,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,37
3268,1395,1,01,01,015,09,002,08,00,08,45,03,005,09,028,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,2,10,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,37
3269,1395,1,02,03,005,09,028,18,00,19,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,4,208,00095,0050,1,1,37
3269,1395,1,02,03,005,09,028,18,00,19,00,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,4,,,,,,1,00,,,,,,,,,4,208,00095,0050,1,1,37
3270,1395,2,01,01,015,09,002,08,00,10,00,07,140,21,888,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,14,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,37
3270,1395,2,01,01,015,09,002,08,00,10,00,07,140,21,888,05,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,14,00,2,,,1,00,,,,,,,,,4,208,00095,0050,1,1,37
3401,1435,1,01,01,015,09,002,06,30,08,10,03,016,09,016,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,99,99,2,,,1,02,1,2,2,2,2,2,2,2,3,239,00098,0040,1,1,49
3401,1435,1,01,01,015,09,002,06,30,08,10,03,016,09,016,06,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,04,3,99,99,2,,,1,02,1,2,2,2,2,2,2,2,3,239,00098,0040,1,1,49
3402,1435,1,02,03,016,09,016,20,15,20,45,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,239,00098,0040,1,1,49
3402,1435,1,02,03,016,09,016,20,15,20,45,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,239,00098,0040,1,1,49
3403,1435,2,01,01,015,09,002,11,00,12,00,08,037,15,102,08,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,99,99,2,,,1,00,,,,,,,,,3,239,00098,0040,1,1,49
3403,1435,2,01,01,015,09,002,11,00,12,00,08,037,15,102,08,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,2,99,99,2,,,1,00,,,,,,,,,3,239,00098,0040,1,1,49
3404,1435,2,02,08,037,15,102,16,00,17,15,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,01,2,2,2,1,2,2,2,2,3,239,00098,0040,1,1,49
3404,1435,2,02,08,037,15,102,16,00,17,15,01,015,09,002,01,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,02,4,,,,,,1,01,2,2,2,1,2,2,2,2,3,239,00098,0040,1,1,49
3429,1447,1,01,01,015,09,002,05,30,06,20,03,014,09,015,02,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,01,3,99,99,2,,,1,00,,,,,,,,,3,234,00099,0040,1,2,39
